code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
azb,True,1.0,Turkic,3,15,10,0.5390472361809057,0.0,0.47525,0.5922,0.5922,1.0,0.5922,3,0,10
bar,True,1.0,Indo-European,24,1,3,0.40494673366834244,0.0,0.0002,0.4359,0.7877,1.0,0.0002,1,41,9
kin,True,1.0,Atlantic-Congo,28,0,0,0.11344422110552747,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,115,0
nya,True,1.0,Atlantic-Congo,28,0,0,0.12200201005025106,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,105,0
bam,True,1.0,Mande,2,15,11,0.5469628140703539,0.0002,0.5687,0.5687,0.6936,1.0,0.5687,0,0,2
tsn,True,2.0,Atlantic-Congo,28,0,0,0.06022361809045221,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
nso,True,1.0,Atlantic-Congo,28,0,0,0.6317889447236195,0.0002,0.7223,0.7223,0.7223,1.0,0.7223,0,26,10
sot,True,0.0,Atlantic-Congo,28,0,0,0.08010150753768837,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,114,0
ell,True,,Indo-European,3,15,10,0.5646944723618103,0.0,0.5611,0.5922,0.5922,1.0,0.5922,1,1,10
swe,True,4.0,Indo-European,28,0,0,0.1778025125628138,0.0002,0.0002,0.0002,0.5228,0.879,0.0002,0,110,0
hat,True,2.0,Indo-European,28,0,0,0.10922211055276365,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,103,0
ctg,True,,Indo-European,28,0,0,0.3879964824120606,0.0,0.0002,0.5228,0.5922,1.0,0.0002,1,62,3
run,True,0.0,Atlantic-Congo,28,0,0,0.11923567839195956,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,115,0
dyu,True,0.0,Mande,28,0,0,0.45302261306532804,0.0002,0.0002,0.6162,0.6162,1.0,0.6162,0,65,11
dcc,True,,Indo-European,28,0,0,0.4702452261306547,0.0002,0.0002,0.6667,0.6667,1.0,0.6667,0,63,3
hun,True,4.0,Uralic,3,15,10,0.5810904522613078,0.0,0.5922,0.5922,0.5922,1.0,0.5922,2,0,10
ayn,True,,Afro-Asiatic,28,0,0,0.07913768844221106,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
ktu,True,0.0,Atlantic-Congo,28,0,0,0.1265276381909546,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
wol,True,2.0,Atlantic-Congo,5,15,8,0.4986994974874381,0.0,0.3661,0.641,0.641,1.0,0.641,2,5,10
ces,True,4.0,Indo-European,28,0,0,0.15733668341708512,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,116,0
sck,False,,Indo-European,28,0,0,0.19389648241206,0.0002,0.0002,0.0002,0.5687,0.879,0.0002,0,78,0
wes,False,,Indo-European,28,0,0,0.4091899497487442,0.0002,0.0002,0.5933,0.7223,1.0,0.0002,0,60,5
mos,True,,Atlantic-Congo,22,1,5,0.24119145728643185,0.0,0.0002,0.0002,0.7223,1.0,0.0002,1,75,3
acq,True,,Afro-Asiatic,28,0,0,0.053518592964824085,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
mnp,False,,Sino-Tibetan,27,0,1,0.28843115577889417,0.0,0.0002,0.0002,0.879,1.0,0.0002,1,74,6
aeb,True,,Afro-Asiatic,28,0,0,0.05239095477386936,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,116,0
syl,False,,Indo-European,28,0,0,0.08286783919597981,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,114,0
kng,True,,Atlantic-Congo,27,1,0,0.10122663316582904,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
swc,False,,Atlantic-Congo,28,0,0,0.40791809045226124,0.0002,0.0002,0.5456,0.5456,1.0,0.5456,0,65,11
afb,True,,Afro-Asiatic,28,0,0,0.10624070351758785,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,105,0
lug,True,,Atlantic-Congo,28,0,0,0.0920020100502511,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,110,0
cdo,True,1.0,Sino-Tibetan,5,15,8,0.21383316582914524,0.0,0.0002,0.0002,0.641,1.0,0.0002,1,72,4
sna,True,1.0,Atlantic-Congo,28,0,0,0.3242879396984922,0.0002,0.0002,0.0002,0.6162,1.0,0.0002,0,103,9
rkt,False,,Indo-European,28,0,0,0.09095929648241197,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
acw,True,,Afro-Asiatic,28,0,0,0.11906331658291441,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,102,0
ibb,True,0.0,Atlantic-Congo,28,0,0,0.10523768844221086,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,117,0
uig,True,1.0,Turkic,21,4,3,0.13527638190954752,0.0,0.0002,0.0002,0.0002,1.0,0.0002,1,99,1
ayp,True,,Afro-Asiatic,28,0,0,0.07096884422110551,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,114,0
srp,True,4.0,Indo-European,23,3,2,0.18453467336683407,0.0,0.0002,0.0002,0.0002,1.0,0.0002,1,90,3
tso,True,1.0,Atlantic-Congo,28,0,0,0.056991457286432214,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,117,0
aka,True,1.0,Atlantic-Congo,5,16,7,0.6280844221105546,0.0,0.5456,0.6667,0.6667,1.0,0.6667,1,12,7
bgc,True,,Indo-European,28,0,0,0.11737135678391933,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
hae,True,,Afro-Asiatic,2,14,12,0.37211256281406996,0.0,0.0002,0.5456,0.5456,1.0,0.5456,1,24,6
heb,True,3.0,Afro-Asiatic,25,3,0,0.2547728643216076,0.0002,0.0002,0.0002,0.5922,0.879,0.0002,0,149,0
cat,True,4.0,Indo-European,5,14,9,0.6310834170854296,0.0,0.6162,0.6162,0.6936,1.0,0.6162,2,2,10
azj,True,,Turkic,28,0,0,0.08320452261306525,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,115,0
knc,True,,Saharan,2,14,12,0.5475155778894456,0.0,0.5456,0.5456,0.5456,1.0,0.5456,1,5,3
tir,True,2.0,Afro-Asiatic,28,0,0,0.11761507537688425,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
pst,True,,Indo-European,4,13,11,0.5087125628140715,0.0,0.49865,0.5922,0.5922,1.0,0.5922,1,3,4
gax,True,,Afro-Asiatic,28,0,0,0.13180050251256256,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
tgk,True,1.0,Indo-European,28,0,0,0.23241708542713532,0.0002,0.0002,0.0002,0.6162,1.0,0.0002,0,70,2
kri,True,,Indo-European,28,0,0,0.11628291457286409,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
kik,True,1.0,Atlantic-Congo,28,0,0,0.08746180904522609,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,109,0
suk,True,0.0,Atlantic-Congo,28,0,0,0.13056532663316556,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,103,0
rwr,False,,Indo-European,27,1,0,0.11160201005025108,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
umb,True,0.0,Atlantic-Congo,4,16,8,0.739761306532663,0.0,0.641,0.8278,0.8278,1.0,0.8278,1,2,14
mad,True,0.0,Austronesian,25,1,2,0.797855778894472,0.0,0.7532,0.8278,0.8278,1.0,0.8278,1,0,22
bul,True,3.0,Indo-European,6,13,9,0.5414839195979916,0.0,0.4407,0.6162,0.6162,1.0,0.6162,4,2,10
sat,True,1.0,Austroasiatic,27,1,0,0.09016532663316569,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,107,0
plt,True,,Austronesian,2,15,11,0.4770281407035194,0.0002,0.43735,0.5687,0.5687,1.0,0.5687,0,2,4
kab,True,1.0,Afro-Asiatic,28,0,0,0.11728994974874346,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,116,0
slk,True,3.0,Indo-European,28,0,0,0.05422512562814079,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,115,0
kas,True,1.0,Indo-European,7,14,7,0.6417497487437204,0.0,0.6667,0.6667,0.6667,1.0,0.6667,2,6,15
lua,True,,Atlantic-Congo,5,13,10,0.23780452261306484,0.0,0.0002,0.0002,0.5922,1.0,0.0002,1,62,5
vah,False,,Indo-European,28,0,0,0.09045025125628121,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,108,0
ins,True,,Sign Language,28,0,0,0.11196432160804012,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,105,0
hrv,True,4.0,Indo-European,28,0,0,0.2816919597989945,0.0002,0.0002,0.0002,0.641,1.0,0.0002,0,115,3
tuk,True,1.0,Turkic,26,1,1,0.27219949748743705,0.0,0.0002,0.0002,0.6936,1.0,0.0002,1,61,4
gug,True,,Tupian,1,19,8,0.6099110552763833,0.0,0.53305,0.641,0.641,1.0,0.641,1,1,12
ilo,True,1.0,Austronesian,28,0,0,0.1107844221105525,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,117,0
gsw,True,,Indo-European,28,0,0,0.08371959798994963,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,110,0
hil,True,0.0,Austronesian,28,0,0,0.15407437185929618,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,104,0
nod,True,,Tai-Kadai,28,0,0,0.09682713567839173,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
